,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,user_type_cat,tire_sizes,duration_trim,duration_time,ride_id
7210,18 minutes,3,Powell St BART Station (Market St at 4th St),377,Fell St at Stanyan St,5294,2,1968,Female,2,27,18 ,18,7210
7211,13 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,167,3,1971,Male,3,27,13 ,13,7211
7212,7 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4738,1,1980,Male,1,26,7 ,7,7212
7213,14 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,3355,3,1975,Male,3,27,14 ,14,7213
7214,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,1104,1,1992,Male,1,27,12 ,12,7214
7215,7 minutes,81,Berry St at 4th St,4,Cyril Magnin St at Ellis St,4977,3,1982,Male,3,26,7 ,7,7215
7216,7 minutes,5,Powell St BART Station (Market St at 5th St),93,4th St at Mission Bay Blvd S,5306,1,1983,Male,1,27,7 ,7,7216
7217,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),13,Commercial St at Montgomery St,851,3,1959,Male,3,27,7 ,7,7217
7218,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,281,1,1973,Male,1,26,7 ,7,7218
7219,2 minutes,3,Powell St BART Station (Market St at 4th St),5,Powell St BART Station (Market St at 5th St),5306,2,1988,Male,2,27,2 ,2,7219
7220,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),10,Washington St at Kearny St,5537,2,1982,Female,2,26,6 ,6,7220
7221,15 minutes,81,Berry St at 4th St,323,Broadway at Kearny,4326,3,1984,Male,3,27,15 ,15,7221
7222,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),364,China Basin St at 3rd St,2197,1,1986,Male,1,26,3 ,3,7222
7223,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,1044,3,1994,Male,3,26,9 ,9,7223
7224,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,2002,2,1991,Female,2,26,1 ,1,7224
7225,2 minutes,30,San Francisco Caltrain (Townsend St at 4th St),80,Townsend St at 5th St,1176,1,1991,Male,1,26,2 ,2,7225
7226,13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),58,Market St at 10th St,5182,2,1980,Male,2,26,13 ,13,7226
7227,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,4611,1,1975,Male,1,27,4 ,4,7227
7228,4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,5050,3,1983,Male,3,26,4 ,4,7228
7229,5 minutes,5,Powell St BART Station (Market St at 5th St),10,Washington St at Kearny St,5484,2,1988,Male,2,26,5 ,5,7229
7230,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),80,Townsend St at 5th St,1667,2,1992,Male,2,26,7 ,7,7230
7231,18 minutes,30,San Francisco Caltrain (Townsend St at 4th St),70,Central Ave at Fell St,5441,2,1992,Male,2,26,18 ,18,7231
7232,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),56,Koshland Park,4351,1,1997,Male,1,26,12 ,12,7232
7233,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),75,Market St at Franklin St,5307,2,1990,Male,2,27,10 ,10,7233
7234,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),369,Hyde St at Post St,5574,2,1992,Male,2,27,9 ,9,7234
7235,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5467,3,1987,Male,3,26,3 ,3,7235
7236,16 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),73,Pierce St at Haight St,5282,2,1996,Male,2,27,16 ,16,7236
7237,5 minutes,5,Powell St BART Station (Market St at 5th St),60,8th St at Ringold St,2039,3,1971,Male,3,26,5 ,5,7237
7238,15 minutes,22,Howard St at Beale St,56,Koshland Park,6235,2,1997,Male,2,26,15 ,15,7238
7239,15 minutes,5,Powell St BART Station (Market St at 5th St),49,S Park St at 3rd St,4617,2,1991,Male,2,27,15 ,15,7239
7240,4 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,2355,2,1985,Male,2,26,4 ,4,7240
7241,17 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,5549,1,1991,Male,1,26,17 ,17,7241
7242,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,3010,2,1981,Male,2,26,5 ,5,7242
7243,13 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,3105,3,1965,Female,3,26,13 ,13,7243
7244,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4738,2,1988,Male,2,27,12 ,12,7244
7245,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,5338,2,1994,Male,2,26,5 ,5,7245
7246,9 minutes,22,Howard St at Beale St,10,Washington St at Kearny St,4772,2,1980,Male,2,26,9 ,9,7246
7247,9 minutes,22,Howard St at Beale St,10,Washington St at Kearny St,5224,2,1978,Male,2,26,9 ,9,7247
7248,6 minutes,3,Powell St BART Station (Market St at 4th St),11,Davis St at Jackson St,63,2,1999,Male,2,27,6 ,6,7248
7249,6 minutes,16,Steuart St at Market St,25,Howard St at 2nd St,858,3,1993,Female,3,27,6 ,6,7249
7250,7 minutes,3,Powell St BART Station (Market St at 4th St),79,7th St at Brannan St,5057,2,1989,Male,2,27,7 ,7,7250
7251,2 minutes,3,Powell St BART Station (Market St at 4th St),5,Powell St BART Station (Market St at 5th St),3678,1,1991,Male,1,27,2 ,2,7251
7252,16 minutes,81,Berry St at 4th St,107,17th St at Dolores St,5409,2,1988,Male,2,27,16 ,16,7252
7253,12 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,4941,2,1981,Female,2,27,12 ,12,7253
7254,12 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,4397,2,1983,Male,2,27,12 ,12,7254
7255,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),22,Howard St at Beale St,4772,2,1980,Male,2,26,9 ,9,7255
7256,3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,5224,1,1978,Male,1,26,3 ,3,7256
7257,15 minutes,22,Howard St at Beale St,115,Jackson Playground,5411,3,1986,Male,3,27,15 ,15,7257
7258,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),365,Turk St at Fillmore St,4641,3,1987,Male,3,27,15 ,15,7258
7259,8 minutes,5,Powell St BART Station (Market St at 5th St),368,Myrtle St at Polk St,4982,2,1968,Male,2,26,8 ,8,7259
7260,11 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,1888,3,1992,Female,3,26,11 ,11,7260
7261,9 minutes,22,Howard St at Beale St,321,5th St at Folsom,4730,2,1984,Female,2,27,9 ,9,7261
7262,13 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,5306,1,1977,Male,1,27,13 ,13,7262
7263,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),120,Mission Dolores Park,5045,2,1973,Male,2,26,16 ,16,7263
7264,15 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3637,3,1992,Female,3,27,15 ,15,7264
7265,4 minutes,3,Powell St BART Station (Market St at 4th St),5,Powell St BART Station (Market St at 5th St),3397,2,1968,Male,2,27,4 ,4,7265
7266,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,4317,2,1990,Male,2,26,11 ,11,7266
7267,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,5114,2,1979,Male,2,26,12 ,12,7267
7268,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5217,1,1975,Male,1,27,5 ,5,7268
7269,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,3165,3,1992,Female,3,27,10 ,10,7269
7270,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),60,8th St at Ringold St,5021,1,1992,Male,1,26,6 ,6,7270
7271,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),60,8th St at Ringold St,3562,2,1992,Male,2,26,11 ,11,7271
7272,14 minutes,16,Steuart St at Market St,39,Scott St at Golden Gate Ave,4571,2,1984,Female,2,27,14 ,14,7272
7273,7 minutes,3,Powell St BART Station (Market St at 4th St),370,Jones St at Post St,1488,2,1971,Male,2,26,7 ,7,7273
7274,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),21,Montgomery St BART Station (Market St at 2nd St),4772,3,1980,Male,3,27,7 ,7,7274
7275,9 minutes,16,Steuart St at Market St,21,Montgomery St BART Station (Market St at 2nd St),5217,3,1978,Male,3,27,9 ,9,7275
7276,17 minutes,81,Berry St at 4th St,324,Union Square (Powell St at Post St),4749,2,1994,Female,2,26,17 ,17,7276
7277,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),28,The Embarcadero at Bryant St,2185,2,1992,Female,2,26,7 ,7,7277
7278,5 minutes,5,Powell St BART Station (Market St at 5th St),61,Howard St at 8th St,5004,2,1996,Female,2,27,5 ,5,7278
7279,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,3208,2,1991,Male,2,27,14 ,14,7279
7280,4 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,5488,3,1990,Male,3,26,4 ,4,7280
7281,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5016,3,1990,Male,3,26,5 ,5,7281
7282,27 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),144,Precita Park,5227,3,1985,Female,3,26,27 ,27,7282
7283,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),5,Powell St BART Station (Market St at 5th St),3656,2,1993,Male,2,27,7 ,7,7283
7284,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),5,Powell St BART Station (Market St at 5th St),1303,2,1993,Male,2,27,5 ,5,7284
7285,12 minutes,81,Berry St at 4th St,355,23rd St at Tennessee St,3579,2,1983,Female,2,27,12 ,12,7285
7286,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),4,Cyril Magnin St at Ellis St,1018,2,1986,Female,2,26,12 ,12,7286
7287,7 minutes,16,Steuart St at Market St,49,S Park St at 3rd St,5249,2,1976,Female,2,27,7 ,7,7287
7288,23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),122,19th St at Mission St,5504,2,1987,Female,2,26,23 ,23,7288
7289,12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),85,Church St at Duboce Ave,5560,2,1990,Female,2,27,12 ,12,7289
7290,9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),593,2,1990,Male,2,27,9 ,9,7290
7291,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,2193,3,1999,Female,3,26,11 ,11,7291
7292,15 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,3325,1,1963,Male,1,26,15 ,15,7292
7293,26 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),34,Father Alfred E Boeddeker Park,5150,2,1985,Male,2,26,26 ,26,7293
7294,7 minutes,3,Powell St BART Station (Market St at 4th St),11,Davis St at Jackson St,2481,3,1963,Male,3,27,7 ,7,7294
7295,18 minutes,81,Berry St at 4th St,81,Berry St at 4th St,4749,1,1988,Male,1,27,18 ,18,7295
7296,10 minutes,22,Howard St at Beale St,350,8th St at Brannan St,5274,1,1994,Male,1,26,10 ,10,7296
7297,9 minutes,5,Powell St BART Station (Market St at 5th St),350,8th St at Brannan St,5558,2,1971,Male,2,26,9 ,9,7297
7298,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),95,Sanchez St at 15th St,5359,1,1988,Male,1,27,14 ,14,7298
7299,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,1909,1,1991,Female,1,26,25 ,25,7299
7300,14 minutes,3,Powell St BART Station (Market St at 4th St),90,Townsend St at 7th St,3371,3,1989,Female,3,26,14 ,14,7300
7301,13 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,963,3,1995,Female,3,26,13 ,13,7301
7302,6 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4768,1,1985,Male,1,26,6 ,6,7302
7303,15 minutes,3,Powell St BART Station (Market St at 4th St),78,Folsom St at 9th St,1400,1,1982,Male,1,26,15 ,15,7303
7304,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),285,Webster St at O'Farrell St,4968,1,1957,Male,1,27,19 ,19,7304
7305,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,5327,2,1994,Male,2,26,8 ,8,7305
7306,16 minutes,5,Powell St BART Station (Market St at 5th St),141,Valencia St at Cesar Chavez St,5234,2,1989,Male,2,27,16 ,16,7306
7307,11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,2343,1,1987,Male,1,26,11 ,11,7307
7308,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,2810,2,1986,Male,2,26,10 ,10,7308
7309,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,1090,2,1977,Female,2,26,11 ,11,7309
7310,8 minutes,5,Powell St BART Station (Market St at 5th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),1018,1,1979,Male,1,27,8 ,8,7310
7311,18 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,3115,2,1988,Male,2,27,18 ,18,7311
7312,19 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,4749,2,1978,Male,2,27,19 ,19,7312
7313,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),90,Townsend St at 7th St,2250,1,1992,Male,1,26,13 ,13,7313
7314,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,2981,2,1983,Male,2,26,6 ,6,7314
7315,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5438,3,1988,Male,3,26,4 ,4,7315
7316,7 minutes,3,Powell St BART Station (Market St at 4th St),59,S Van Ness Ave at Market St,317,2,1998,Male,2,27,7 ,7,7316
7317,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,3168,3,1996,Male,3,27,6 ,6,7317
7318,11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,2113,3,1995,Male,3,26,11 ,11,7318
7319,20 minutes,5,Powell St BART Station (Market St at 5th St),133,Valencia St at 22nd St,5030,3,1993,Male,3,27,20 ,20,7319
7320,16 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5424,2,1989,Male,2,27,16 ,16,7320
7321,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3395,3,1985,Male,3,26,3 ,3,7321
7322,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6,The Embarcadero at Sansome St,1513,2,1987,Male,2,26,19 ,19,7322
7323,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),53,Grove St at Divisadero,5301,1,1990,Male,1,27,15 ,15,7323
7324,9 minutes,5,Powell St BART Station (Market St at 5th St),364,China Basin St at 3rd St,5381,1,1992,Male,1,26,9 ,9,7324
7325,16 minutes,22,Howard St at Beale St,126,Esprit Park,2473,1,1959,Male,1,26,16 ,16,7325
7326,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1142,1,2000,Female,1,26,9 ,9,7326
7327,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3592,2,1991,Female,2,26,9 ,9,7327
7328,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5057,2,1996,Male,2,27,7 ,7,7328
7329,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1184,2,2000,Male,2,26,9 ,9,7329
7330,8 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1564,2,1999,Female,2,26,8 ,8,7330
7331,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3400,2,1953,Male,2,27,6 ,6,7331
7332,6 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,4320,2,2000,Female,2,26,6 ,6,7332
7333,6 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5522,2,1998,Male,2,26,6 ,6,7333
7334,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2319,3,2000,Female,3,26,9 ,9,7334
7335,18 minutes,3,Powell St BART Station (Market St at 4th St),323,Broadway at Kearny,4755,2,1990,Male,2,27,18 ,18,7335
7336,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),365,Turk St at Fillmore St,5550,3,1986,Female,3,27,14 ,14,7336
7337,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,2284,2,1984,Male,2,27,15 ,15,7337
7338,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),99,Folsom St at 15th St,1044,3,1995,Male,3,27,12 ,12,7338
7339,12 minutes,22,Howard St at Beale St,350,8th St at Brannan St,5573,1,1985,Male,1,26,12 ,12,7339
7340,2 minutes,5,Powell St BART Station (Market St at 5th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),4436,3,1991,Male,3,26,2 ,2,7340
7341,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,3498,3,1982,Male,3,26,9 ,9,7341
7342,13 minutes,5,Powell St BART Station (Market St at 5th St),120,Mission Dolores Park,5020,2,1973,Male,2,26,13 ,13,7342
7343,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,3721,1,1985,Male,1,26,19 ,19,7343
7344,14 minutes,5,Powell St BART Station (Market St at 5th St),107,17th St at Dolores St,4442,1,1981,Male,1,27,14 ,14,7344
7345,8 minutes,81,Berry St at 4th St,28,The Embarcadero at Bryant St,3258,1,1996,Male,1,26,8 ,8,7345
7346,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,2630,2,1992,Male,2,26,14 ,14,7346
7347,4 minutes,3,Powell St BART Station (Market St at 4th St),324,Union Square (Powell St at Post St),6234,1,1990,Male,1,26,4 ,4,7347
7348,31 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),371,Lombard St at Columbus Ave,5012,3,1989,Male,3,27,31 ,31,7348
7349,18 minutes,16,Steuart St at Market St,124,19th St at Florida St,2218,1,1989,Male,1,26,18 ,18,7349
7350,38 minutes,22,Howard St at Beale St,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),2769,2,1985,Male,2,26,38 ,38,7350
7351,21 minutes,22,Howard St at Beale St,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),2550,1,1977,Male,1,26,21 ,21,7351
7352,6 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),5338,2,1985,Male,2,26,6 ,6,7352
7353,9 minutes,3,Powell St BART Station (Market St at 4th St),56,Koshland Park,4370,1,1987,Male,1,26,9 ,9,7353
7354,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),321,5th St at Folsom,5559,2,1994,Male,2,27,8 ,8,7354
7355,14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),383,Golden Gate Ave at Franklin St,5314,3,1981,Male,3,27,14 ,14,7355
7356,15 minutes,22,Howard St at Beale St,130,22nd St Caltrain Station,218,3,1986,Male,3,26,15 ,15,7356
7357,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,498,1,1994,Male,1,26,3 ,3,7357
7358,24 minutes,22,Howard St at Beale St,355,23rd St at Tennessee St,484,2,1993,Male,2,27,24 ,24,7358
7359,18 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),5098,3,1972,Male,3,27,18 ,18,7359
7360,20 minutes,5,Powell St BART Station (Market St at 5th St),371,Lombard St at Columbus Ave,4438,2,1980,Male,2,27,20 ,20,7360
7361,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,4326,3,1987,Male,3,27,5 ,5,7361
7362,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),63,Bryant St at 6th St,1194,1,1985,Male,1,27,4 ,4,7362
7363,14 minutes,81,Berry St at 4th St,9,Broadway at Battery St,1301,3,1981,Female,3,27,14 ,14,7363
7364,21 minutes,5,Powell St BART Station (Market St at 5th St),22,Howard St at Beale St,5338,1,1985,Male,1,26,21 ,21,7364
7365,13 minutes,3,Powell St BART Station (Market St at 4th St),28,The Embarcadero at Bryant St,5200,2,1991,Female,2,26,13 ,13,7365
7366,3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,4795,1,1979,Female,1,27,3 ,3,7366
7367,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,5535,2,1989,Male,2,27,6 ,6,7367
7368,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5036,3,1993,Female,3,27,5 ,5,7368
7369,8 minutes,3,Powell St BART Station (Market St at 4th St),11,Davis St at Jackson St,1842,3,1958,Male,3,27,8 ,8,7369
7370,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,4969,3,1989,Male,3,27,3 ,3,7370
7371,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),30,San Francisco Caltrain (Townsend St at 4th St),5243,3,1974,Male,3,26,11 ,11,7371
7372,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4963,2,1991,Female,2,27,20 ,20,7372
7373,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),55,Webster St at Grove St,5265,2,1985,Male,2,27,14 ,14,7373
7374,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),134,Valencia St at 24th St,5474,2,1989,Male,2,26,16 ,16,7374
7375,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5559,2,1967,Male,2,27,4 ,4,7375
7376,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),345,Hubbell St at 16th St,5204,3,1989,Female,3,27,5 ,5,7376
7377,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),371,Lombard St at Columbus Ave,4827,2,1992,Male,2,27,7 ,7,7377
7378,5 minutes,81,Berry St at 4th St,90,Townsend St at 7th St,3621,2,1994,Male,2,26,5 ,5,7378
7379,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),96,Dolores St at 15th St,5339,1,1991,Male,1,26,10 ,10,7379
7380,20 minutes,16,Steuart St at Market St,72,Page St at Scott St,2614,2,1979,Male,2,26,20 ,20,7380
7381,20 minutes,22,Howard St at Beale St,127,Valencia St at 21st St,411,1,1994,Male,1,27,20 ,20,7381
7382,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),97,14th St at Mission St,5290,2,1992,Female,2,27,12 ,12,7382
7383,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),75,Market St at Franklin St,5571,1,1994,Male,1,27,11 ,11,7383
7384,20 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,4574,2,1986,Female,2,26,20 ,20,7384
7385,9 minutes,3,Powell St BART Station (Market St at 4th St),356,Valencia St at Clinton Park,5034,2,1990,Male,2,26,9 ,9,7385
7386,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5559,2,1954,Male,2,27,9 ,9,7386
7387,22 minutes,16,Steuart St at Market St,138,Jersey St at Church St,5442,2,1970,Male,2,26,22 ,22,7387
7388,22 minutes,81,Berry St at 4th St,371,Lombard St at Columbus Ave,2694,1,1986,Male,1,27,22 ,22,7388
7389,30 minutes,22,Howard St at Beale St,21,Montgomery St BART Station (Market St at 2nd St),5561,2,1965,Male,2,27,30 ,30,7389
7390,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5343,2,1991,Male,2,27,6 ,6,7390
7391,27 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),121,Mission Playground,4923,2,1981,Male,2,27,27 ,27,7391
7392,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),324,Union Square (Powell St at Post St),4825,1,1990,Other,1,26,8 ,8,7392
7393,14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),6,The Embarcadero at Sansome St,4750,1,1952,Male,1,26,14 ,14,7393
7394,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),321,5th St at Folsom,5140,2,1988,Male,2,27,3 ,3,7394
7395,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5062,2,1988,Other,2,26,7 ,7,7395
7396,4 minutes,81,Berry St at 4th St,90,Townsend St at 7th St,2426,2,1992,Male,2,26,4 ,4,7396
7397,4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,5549,2,1979,Male,2,26,4 ,4,7397
7398,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4742,3,1987,Male,3,26,3 ,3,7398
7399,22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),106,Sanchez St at 17th St,4659,3,1981,Male,3,26,22 ,22,7399
7400,7 minutes,16,Steuart St at Market St,24,Spear St at Folsom St,5113,2,1984,Male,2,26,7 ,7,7400
7401,9 minutes,16,Steuart St at Market St,3,Powell St BART Station (Market St at 4th St),2319,3,1995,Female,3,27,9 ,9,7401
7402,21 minutes,5,Powell St BART Station (Market St at 5th St),118,Eureka Valley Recreation Center,832,2,1979,Male,2,26,21 ,21,7402
7403,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),87,Folsom St at 13th St,4958,2,1991,Male,2,27,15 ,15,7403
7404,25 minutes,16,Steuart St at Market St,70,Central Ave at Fell St,5566,1,1990,Male,1,26,25 ,25,7404
7405,15 minutes,3,Powell St BART Station (Market St at 4th St),71,Broderick St at Oak St,5255,2,1990,Male,2,27,15 ,15,7405
7406,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),116,Mississippi St at 17th St,5460,3,1977,Male,3,26,5 ,5,7406
7407,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),76,McCoppin St at Valencia St,5108,1,1985,Female,1,26,13 ,13,7407
7408,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),5276,2,1988,Male,2,26,6 ,6,7408
7409,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),6,The Embarcadero at Sansome St,5057,1,1988,Female,1,26,15 ,15,7409
7410,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),121,Mission Playground,5349,2,1978,Male,2,27,13 ,13,7410
7411,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),77,11th St at Natoma St,4717,2,1987,Male,2,27,11 ,11,7411
7412,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,3359,3,1974,Male,3,26,9 ,9,7412
7413,12 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,5423,1,1985,Male,1,27,12 ,12,7413
